adjusted_appropriation,fund_no,dept_no,activity_code,object_code,sub_object_code,account_description,department
500,1000,224,410580,310,000,COMMUNICATIONS,Information Technologies
100,1000,224,410580,320,000,PRINTING & DUPLICATING,Information Technologies
1000,1000,224,410580,330,000,PUBLICITY SUBSCRIPTIONS & DUES,Information Technologies
290600,1000,224,410580,344,000,TELEPHONE SERVICE,Information Technologies
12000,1000,224,410580,350,000,PROFESSIONAL SERVICES,Information Technologies
821001,1000,224,410580,360,000,REPAIR & MAINTENANCE,Information Technologies
8139,1000,224,410580,370,000,TRAVEL,Information Technologies
15000,1000,224,410580,380,000,TRAINING,Information Technologies
5000,1000,224,410580,390,000,OTHER PURCHASED SERVICES,Information Technologies
87096,1000,224,410580,530,000,RENT,Information Technologies
0,1000,224,410580,610,000,PRINCIPAL,Information Technologies
0,1000,224,410580,650,000,LEASE PAYMENTS - PRINCIPAL,Information Technologies
0,1000,224,410580,660,000,LEASE PAYMENTS - INTEREST,Information Technologies
390947,1000,224,411060,110,000,SALARIES AND WAGES,Information Technologies
0,1000,224,411060,120,000,OVERTIME,Information Technologies
138356,1000,224,411060,140,000,EMPLOYER CONTRIBUTIONS,Information Technologies
376,1000,224,411060,141,000,STATE RETIREMENT CONTRIBUTIONS,Information Technologies
2000,1000,224,411060,210,000,OFFICE SUPPLIES,Information Technologies
2000,1000,224,411060,220,000,OPERATING SUPPLIES,Information Technologies
1140,1000,224,411060,230,000,REPAIR/MAINTENANCE,Information Technologies
500,1000,224,411060,231,000,GASOLINE,Information Technologies
500,1000,224,411060,240,000,OTHER SUPPLIES,Information Technologies
500,1000,224,411060,330,000,PUBLICITY SUBSCRIPTIONS & DUES,Information Technologies
1370,1000,224,411060,344,000,TELEPHONE SERVICE,Information Technologies
2380,1000,224,411060,350,000,PROFESSIONAL SERVICES,Information Technologies
169394,1000,224,411060,360,000,REPAIR & MAINTENANCE,Information Technologies
2450,1000,224,411060,370,000,TRAVEL,Information Technologies
3425,1000,224,411060,380,000,TRAINING,Information Technologies
1550,1000,224,411060,390,000,OTHER PURCHASED SERVICES,Information Technologies
0,1000,224,411060,650,000,LEASE PAYMENTS - PRINCIPAL,Information Technologies
0,1000,224,411060,660,000,LEASE PAYMENTS - INTEREST,Information Technologies
0,1000,224,411300,360,000,REPAIR & MAINTENANCE,Information Technologies
2500,1000,224,419000,220,000,OPERATING SUPPLIES,Information Technologies
1333856,1000,230,410360,110,000,SALARIES AND WAGES,Municipal Court
10000,1000,230,410360,120,000,OVERTIME,Municipal Court
550513,1000,230,410360,140,000,EMPLOYER CONTRIBUTIONS,Municipal Court
1306,1000,230,410360,141,000,STATE RETIREMENT CONTRIBUTIONS,Municipal Court
7856,1000,230,410360,210,000,OFFICE SUPPLIES,Municipal Court
4972,1000,230,410360,220,000,OPERATING SUPPLIES,Municipal Court
2090,1000,230,410360,240,000,OTHER SUPPLIES,Municipal Court
14580,1000,230,410360,310,000,COMMUNICATIONS,Municipal Court
1187,1000,230,410360,320,000,PRINTING & DUPLICATING,Municipal Court
11381,1000,230,410360,330,000,PUBLICITY SUBSCRIPTIONS & DUES,Municipal Court
1584,1000,230,410360,344,000,TELEPHONE SERVICE,Municipal Court
197766,1000,230,410360,350,000,PROFESSIONAL SERVICES,Municipal Court
15867,1000,230,410360,360,000,REPAIR & MAINTENANCE,Municipal Court
8898,1000,230,410360,370,000,TRAVEL,Municipal Court
11600,1000,230,410360,380,000,TRAINING,Municipal Court
15191,1000,230,410360,390,000,OTHER PURCHASED SERVICES,Municipal Court
31361,1000,230,410360,500,000,FIXED CHARGES,Municipal Court
63903,1000,230,411853,700,000,GRANTS & CONTRIBUTIONS,Municipal Court
939117,1000,240,410510,110,000,SALARIES AND WAGES,Finance
1000,1000,240,410510,120,000,OVERTIME,Finance
352516,1000,240,410510,140,000,EMPLOYER CONTRIBUTIONS,Finance
903,1000,240,410510,141,000,STATE RETIREMENT CONTRIBUTIONS,Finance
7500,1000,240,410510,210,000,OFFICE SUPPLIES,Finance
10000,1000,240,410510,220,000,OPERATING SUPPLIES,Finance
50,1000,240,410510,230,000,REPAIR/MAINTENANCE,Finance
6000,1000,240,410510,310,000,COMMUNICATIONS,Finance
5320,1000,240,410510,320,000,PRINTING & DUPLICATING,Finance
6285,1000,240,410510,330,000,PUBLICITY SUBSCRIPTIONS & DUES,Finance
325,1000,240,410510,344,000,TELEPHONE SERVICE,Finance
313506,1000,240,410510,350,000,PROFESSIONAL SERVICES,Finance
21485,1000,240,410510,360,000,REPAIR & MAINTENANCE,Finance
8245,1000,240,410510,370,000,TRAVEL,Finance
7830,1000,240,410510,380,000,TRAINING,Finance
20000,1000,240,419000,350,000,PROFESSIONAL SERVICES,Finance
403413,1000,245,410810,110,000,SALARIES AND WAGES,Central Services
0,1000,245,410810,120,000,OVERTIME,Central Services
131623,1000,245,410810,140,000,EMPLOYER CONTRIBUTIONS,Central Services
387,1000,245,410810,141,000,STATE RETIREMENT CONTRIBUTIONS,Central Services
400,1000,245,410810,210,000,OFFICE SUPPLIES,Central Services
16000,1000,245,410810,220,000,OPERATING SUPPLIES,Central Services
125,1000,245,410810,231,000,GASOLINE,Central Services
50,1000,245,410810,320,000,PRINTING & DUPLICATING,Central Services
450,1000,245,410810,330,000,PUBLICITY SUBSCRIPTIONS & DUES,Central Services
1500,1000,245,410810,344,000,TELEPHONE SERVICE,Central Services
20000,1000,245,410810,350,000,PROFESSIONAL SERVICES,Central Services
2500,1000,245,410810,370,000,TRAVEL,Central Services
5500,1000,245,410810,380,000,TRAINING,Central Services
88778,1000,245,410810,530,000,RENT,Central Services
0,1000,245,410810,650,000,LEASE PAYMENTS - PRINCIPAL,Central Services
0,1000,245,410810,660,000,LEASE PAYMENTS - INTEREST,Central Services
60000,1000,245,419000,350,000,PROFESSIONAL SERVICES,Central Services
150000,1000,245,419000,350,419,PROFESSIONAL SERVICES,Central Services
98742.5,1000,245,419000,360,419,REPAIR & MAINTENANCE,Central Services
5200.5,1000,245,419000,380,419,TRAINING,Central Services
335286.79,1000,245,419000,700,419,GRANTS & CONTRIBUTIONS,Central Services
102388,1000,246,411810,110,000,SALARIES AND WAGES,Facilities Maintenance
8375,1000,246,411810,130,000,OTHER,Facilities Maintenance
37617,1000,246,411810,140,000,EMPLOYER CONTRIBUTIONS,Facilities Maintenance
106,1000,246,411810,141,000,STATE RETIREMENT CONTRIBUTIONS,Facilities Maintenance
1000,1000,246,411810,210,000,OFFICE SUPPLIES,Facilities Maintenance
1213,1000,246,411810,220,000,OPERATING SUPPLIES,Facilities Maintenance
2000,1000,246,411810,230,000,REPAIR/MAINTENANCE,Facilities Maintenance
5239,1000,246,411810,231,000,GASOLINE,Facilities Maintenance
0,1000,246,411810,330,000,PUBLICITY SUBSCRIPTIONS & DUES,Facilities Maintenance
2255,1000,246,411810,344,000,TELEPHONE SERVICE,Facilities Maintenance
4520,1000,246,411810,350,000,PROFESSIONAL SERVICES,Facilities Maintenance
5150,1000,246,411810,370,000,TRAVEL,Facilities Maintenance
5000,1000,246,411810,380,000,TRAINING,Facilities Maintenance
3877,1000,246,430220,340,000,WASTEWATER,Facilities Maintenance
297151,1000,246,430220,341,000,ELECTRICITY & NATURAL GAS,Facilities Maintenance
808,1000,246,430220,342,000,STORM WATER,Facilities Maintenance
10316,1000,246,430220,343,000,WATER CHARGES,Facilities Maintenance
9206,1000,246,430220,345,000,GARBAGE,Facilities Maintenance
5000,1000,246,430220,360,000,REPAIR & MAINTENANCE,Facilities Maintenance
118211,1000,246,431350,110,000,SALARIES AND WAGES,Facilities Maintenance
0,1000,246,431350,120,000,OVERTIME,Facilities Maintenance
8375,1000,246,431350,130,000,OTHER,Facilities Maintenance
54910,1000,246,431350,140,000,EMPLOYER CONTRIBUTIONS,Facilities Maintenance
71,1000,246,431350,141,000,STATE RETIREMENT CONTRIBUTIONS,Facilities Maintenance
9870,1000,246,431350,220,000,OPERATING SUPPLIES,Facilities Maintenance
42119,1000,246,431350,230,000,REPAIR/MAINTENANCE,Facilities Maintenance
321643,1000,246,431350,360,000,REPAIR & MAINTENANCE,Facilities Maintenance
45862,1000,246,460452,700,000,GRANTS & CONTRIBUTIONS,Facilities Maintenance
70875,1000,248,411200,350,000,PROFESSIONAL SERVICES,Central Services
500,1000,250,410120,320,000,PRINTING & DUPLICATING,"Community Planning, Development, & Innovation"
6700,1000,250,410120,700,000,GRANTS & CONTRIBUTIONS,"Community Planning, Development, & Innovation"
47222,1000,250,410121,700,000,GRANTS & CONTRIBUTIONS,"Community Planning, Development, & Innovation"
35634,1000,250,410124,700,000,GRANTS & CONTRIBUTIONS,"Community Planning, Development, & Innovation"
0,1000,250,410124,700,001,GRANTS & CONTRIBUTIONS CPT JOHN MULLAN,"Community Planning, Development, & Innovation"
0,1000,250,410124,700,002,GRANTS & CONTRIBUTIONS FARVIEWS/PATTEE,"Community Planning, Development, & Innovation"
0,1000,250,410124,700,003,GRANTS & CONTRIBUTIONS F2F,"Community Planning, Development, & Innovation"
0,1000,250,410124,700,006,GRANTS & CONTRIBUTIONS L&C,"Community Planning, Development, & Innovation"
0,1000,250,410124,700,007,GRANTS & CONTRIBUTIONS L RATTLESNAKE,"Community Planning, Development, & Innovation"
0,1000,250,410124,700,009,GRANTS & CONTRIBUTIONS MILLER CREEK,"Community Planning, Development, & Innovation"
0,1000,250,410124,700,010,GRANTS & CONTRIBUTIONS MOOSE CAN,"Community Planning, Development, & Innovation"
0,1000,250,410124,700,011,GRANTS & CONTRIBUTIONS NORTHSIDE,"Community Planning, Development, & Innovation"
0,1000,250,410124,700,012,GRANTS & CONTRIBUTIONS RIVERFRONT,"Community Planning, Development, & Innovation"
0,1000,250,410124,700,013,GRANTS & CONTRIBUTIONS RIVER RD,"Community Planning, Development, & Innovation"
0,1000,250,410124,700,014,GRANTS & CONTRIBUTIONS ROSE PARK,"Community Planning, Development, & Innovation"
0,1000,250,410124,700,015,GRANTS & CONTRIBUTIONS 39TH,"Community Planning, Development, & Innovation"
0,1000,250,410124,700,016,GRANTS & CONTRIBUTIONS  SOUTHGATE TRIANG,"Community Planning, Development, & Innovation"
0,1000,250,410124,700,017,GRANTS & CONTRIBUTIONS TWO RIVERS,"Community Planning, Development, & Innovation"
0,1000,250,410124,700,018,GRANTS & CONTRIBUTIONS UNIVERSITY DIST,"Community Planning, Development, & Innovation"
0,1000,250,410124,700,019,GRANTS & CONTRIBUTIONS U RATTLESNAKE,"Community Planning, Development, & Innovation"
0,1000,250,410124,700,020,GRANTS & CONTRIBUTIONS WESTSIDE,"Community Planning, Development, & Innovation"
117206,1000,250,410125,110,000,SALARIES AND WAGES,"Community Planning, Development, & Innovation"
48872,1000,250,410125,140,000,EMPLOYER CONTRIBUTIONS,"Community Planning, Development, & Innovation"
112,1000,250,410125,141,000,STATE RETIREMENT CONTRIBUTIONS,"Community Planning, Development, & Innovation"
430,1000,250,410125,210,000,OFFICE SUPPLIES,"Community Planning, Development, & Innovation"
175,1000,250,410125,220,000,OPERATING SUPPLIES,"Community Planning, Development, & Innovation"
100,1000,250,410125,231,000,GASOLINE,"Community Planning, Development, & Innovation"
261,1000,250,410125,310,000,COMMUNICATIONS,"Community Planning, Development, & Innovation"
200,1000,250,410125,320,000,PRINTING & DUPLICATING,"Community Planning, Development, & Innovation"
3000,1000,250,410125,350,000,PROFESSIONAL SERVICES,"Community Planning, Development, & Innovation"
50,1000,250,410125,360,000,REPAIR & MAINTENANCE,"Community Planning, Development, & Innovation"
1560,1000,250,410125,370,000,TRAVEL,"Community Planning, Development, & Innovation"
1650,1000,250,410125,380,000,TRAINING,"Community Planning, Development, & Innovation"
533978,1000,250,411010,110,000,SALARIES AND WAGES,"Community Planning, Development, & Innovation"
4276,1000,250,411010,120,000,OVERTIME/TERMINATION,"Community Planning, Development, & Innovation"
186392,1000,250,411010,140,000,EMPLOYER CONTRIBUTIONS,"Community Planning, Development, & Innovation"
510,1000,250,411010,141,000,STATE RETIREMENT CONTRIBUTIONS,"Community Planning, Development, & Innovation"
5525,1000,250,411010,210,000,OFFICE SUPPLIES,"Community Planning, Development, & Innovation"
700,1000,250,411010,220,000,ADMIN-OPERATING SUPPLIES,"Community Planning, Development, & Innovation"
150,1000,250,411010,230,000,REPAIR/MAINTENANCE,"Community Planning, Development, & Innovation"
82,1000,250,411010,231,000,GASOLINE,"Community Planning, Development, & Innovation"
300,1000,250,411010,310,000,COMMUNICATIONS,"Community Planning, Development, & Innovation"
800,1000,250,411010,320,000,PRINTING & DUPLICATING,"Community Planning, Development, & Innovation"
1200,1000,250,411010,330,000,PUBLICITY SUBSCRIPTIONS & DUES,"Community Planning, Development, & Innovation"
24615,1000,250,411010,350,000,PROFESSIONAL SERVICES,"Community Planning, Development, & Innovation"
3500,1000,250,411010,370,000,TRAVEL,"Community Planning, Development, & Innovation"
7200,1000,250,411010,380,000,TRAINING,"Community Planning, Development, & Innovation"
486472,1000,250,411030,110,000,SALARIES AND WAGES,"Community Planning, Development, & Innovation"
176893,1000,250,411030,140,000,EMPLOYER CONTRIBUTIONS,"Community Planning, Development, & Innovation"
467,1000,250,411030,141,000,STATE RETIREMENT CONTRIBUTIONS,"Community Planning, Development, & Innovation"
3500,1000,250,411030,210,000,OFFICE SUPPLIES,"Community Planning, Development, & Innovation"
4210,1000,250,411030,220,000,OPERATING SUPPLIES,"Community Planning, Development, & Innovation"
50,1000,250,411030,231,000,GASOLINE,"Community Planning, Development, & Innovation"
3000,1000,250,411030,310,000,COMMUNICATIONS,"Community Planning, Development, & Innovation"
1500,1000,250,411030,320,000,PRINTING & DUPLICATING,"Community Planning, Development, & Innovation"
5000,1000,250,411030,330,000,PUBLICITY SUBSCRIPTIONS & DUES,"Community Planning, Development, & Innovation"
30000,1000,250,411030,350,000,PROFESSIONAL SERVICES,"Community Planning, Development, & Innovation"
100,1000,250,411030,360,000,REPAIR & MAINTENANCE,"Community Planning, Development, & Innovation"
4440,1000,250,411030,370,000,TRAVEL,"Community Planning, Development, & Innovation"
2700,1000,250,411030,380,000,TRAINING,"Community Planning, Development, & Innovation"
140000,1000,250,411030,700,000,GRANTS & CONTRIBUTIONS,"Community Planning, Development, & Innovation"
895198,1000,250,411050,110,000,SALARIES AND WAGES,"Community Planning, Development, & Innovation"
0,1000,250,411050,110,241,SALARIES AND WAGES,"Community Planning, Development, & Innovation"
344336,1000,250,411050,140,000,EMPLOYER CONTRIBUTIONS,"Community Planning, Development, & Innovation"
0,1000,250,411050,140,241,EMPLOYER CONTRIBUTIONS,"Community Planning, Development, & Innovation"
861,1000,250,411050,141,000,STATE RETIREMENT CONTRIBUTIONS,"Community Planning, Development, & Innovation"
1380,1000,250,411050,210,000,DEV & PERMIT REVIEW-OFFICE SUPPLIES,"Community Planning, Development, & Innovation"
4750,1000,250,411050,220,000,OPERATING SUPPLIES,"Community Planning, Development, & Innovation"
670,1000,250,411050,230,000,REPAIR/MAINTENANCE,"Community Planning, Development, & Innovation"
333,1000,250,411050,231,000,DEV & PERMIT REVIEW-GASOLINE,"Community Planning, Development, & Innovation"
350,1000,250,411050,310,000,COMMUNICATIONS,"Community Planning, Development, & Innovation"
620,1000,250,411050,320,000,PRINTING & DUPLICATING,"Community Planning, Development, & Innovation"
9862,1000,250,411050,330,000,PUBLICITY SUBSCRIPTIONS & DUES,"Community Planning, Development, & Innovation"
815,1000,250,411050,344,000,TELEPHONE SERVICE,"Community Planning, Development, & Innovation"
35339,1000,250,411050,350,000,PROFESSIONAL SERVICES,"Community Planning, Development, & Innovation"
3490,1000,250,411050,360,000,REPAIR & MAINTENANCE,"Community Planning, Development, & Innovation"
12240,1000,250,411050,370,000,DEV & PERMIT REVIEW-TRAVEL,"Community Planning, Development, & Innovation"
6850,1000,250,411050,380,000,TRAINING,"Community Planning, Development, & Innovation"
1400,1000,250,411051,210,000,OFFICE SUPPLIES,"Community Planning, Development, & Innovation"
1600,1000,250,411051,220,000,OPERATING SUPPLIES,"Community Planning, Development, & Innovation"
330,1000,250,411051,230,000,REPAIR/MAINTENANCE,"Community Planning, Development, & Innovation"
2800,1000,250,411051,310,000,COMMUNICATIONS,"Community Planning, Development, & Innovation"
1800,1000,250,411051,320,000,PRINTING & DUPLICATING,"Community Planning, Development, & Innovation"
800,1000,250,411051,330,000,PUBLICITY SUBSCRIPTIONS & DUES,"Community Planning, Development, & Innovation"
18096,1000,250,411051,350,000,PROFESSIONAL SERVICES,"Community Planning, Development, & Innovation"
2000,1000,250,411051,360,000,REPAIR & MAINTENANCE,"Community Planning, Development, & Innovation"
3000,1000,250,411051,370,000,TRAVEL,"Community Planning, Development, & Innovation"
1600,1000,250,411051,380,000,TRAINING,"Community Planning, Development, & Innovation"
7300,1000,250,411051,390,000,OTHER PURCHASED SERVICES,"Community Planning, Development, & Innovation"
136084,1000,250,411055,110,000,SALARIES AND WAGES,"Community Planning, Development, & Innovation"
54150,1000,250,411055,110,241,UC - SALARIES AND WAGES,"Community Planning, Development, & Innovation"
51990,1000,250,411055,140,000,EMPLOYER CONTRIBUTIONS,"Community Planning, Development, & Innovation"
27000,1000,250,411055,140,241,UC - EMPLOYER CONTRIBUTIONS,"Community Planning, Development, & Innovation"
130,1000,250,411055,141,000,STATE RETIREMENT CONTRIBUTIONS,"Community Planning, Development, & Innovation"
500,1000,250,411055,210,000,OFFICE SUPPLIES,"Community Planning, Development, & Innovation"
0,1000,250,411055,210,241,UC OFFICE SUPPLIES,"Community Planning, Development, & Innovation"
400,1000,250,411055,220,000,OPERATING SUPPLIES,"Community Planning, Development, & Innovation"
426,1000,250,411055,220,241,UC OPERATING SUPPLIES,"Community Planning, Development, & Innovation"
0,1000,250,411055,230,000,REPAIR/MAINTENANCE,"Community Planning, Development, & Innovation"
1500,1000,250,411055,231,000,GASOLINE,"Community Planning, Development, & Innovation"
250,1000,250,411055,231,241,UC - GASOLINE,"Community Planning, Development, & Innovation"
0,1000,250,411055,310,000,COMMUNICATIONS,"Community Planning, Development, & Innovation"
300,1000,250,411055,320,000,PRINTING & DUPLICATING,"Community Planning, Development, & Innovation"
960,1000,250,411055,344,000,TELEPHONE SERVICE,"Community Planning, Development, & Innovation"
15500,1000,250,411055,345,241,UC - GARBAGE,"Community Planning, Development, & Innovation"
10000,1000,250,411055,350,000,PROFESSIONAL SERVICES,"Community Planning, Development, & Innovation"
0,1000,250,411055,350,241,UC PROFESSIONAL SERVICES,"Community Planning, Development, & Innovation"
667320,1000,250,411055,350,242,SECURITY CONTRACT,"Community Planning, Development, & Innovation"
2000,1000,250,411055,360,000,REPAIR & MAINTENANCE,"Community Planning, Development, & Innovation"
500,1000,250,411055,370,000,TRAVEL,"Community Planning, Development, & Innovation"
250,1000,250,411055,380,000,TRAINING,"Community Planning, Development, & Innovation"
12000,1000,250,411055,390,000,OTHER PURCHASED SERVICES,"Community Planning, Development, & Innovation"
0,1000,250,411055,390,241,UC - TOWING,"Community Planning, Development, & Innovation"
182569,1000,250,411231,110,000,SALARIES AND WAGES,"Community Planning, Development, & Innovation"
74425,1000,250,411231,140,000,EMPLOYER CONTRIBUTIONS,"Community Planning, Development, & Innovation"
174,1000,250,411231,141,000,STATE RETIREMENT CONTRIBUTIONS,"Community Planning, Development, & Innovation"
600,1000,250,411231,210,000,OFFICE SUPPLIES,"Community Planning, Development, & Innovation"
0,1000,250,411231,231,000,GASOLINE,"Community Planning, Development, & Innovation"
100,1000,250,411231,310,000,COMMUNICATIONS,"Community Planning, Development, & Innovation"
50,1000,250,411231,320,000,PRINTING & DUPLICATING,"Community Planning, Development, & Innovation"
200,1000,250,411231,330,000,PUBLICITY SUBSCRIPTIONS & DUES,"Community Planning, Development, & Innovation"
12425,1000,250,411231,350,000,PROFESSIONAL SERVICES,"Community Planning, Development, & Innovation"
1750,1000,250,411231,370,000,TRAVEL,"Community Planning, Development, & Innovation"
2250,1000,250,411231,380,000,TRAINING,"Community Planning, Development, & Innovation"
70000,1000,250,411231,700,000,GRANTS & CONTRIBUTIONS,"Community Planning, Development, & Innovation"
100000,1000,250,411850,700,000,GRANTS & CONTRIBUTIONS,"Community Planning, Development, & Innovation"
68662,1000,250,419000,110,000,SALARIES AND WAGES,"Community Planning, Development, & Innovation"
31178,1000,250,419000,140,000,EMPLOYER CONTRIBUTIONS,"Community Planning, Development, & Innovation"
