fund,dept_no,activity,program_title_h8,requested_title_change_i9,department_h6,ftes_h36,personnel_g27,o&m_g28,debt_g29,grant_g30,transfers_g31,capital_g32,total_expenditures_g33,cost_recovery_e58_yn,cost_recovery_p24_percent,description_e12,additional_activities_e20,mandate_e41_yn,mandate_h41_entity,mandate_e43_descript,service_level_e47_yn,service_level_h47_entity,service_level_e49_descript,reliance_e53_level,reliance_e55_high_descript,strategic_goal_e64_yn,strategic_goal_e66_name,strategic_goal_e68_action_descript,strategic_goal_e74_additional_actions,strategic_goal_e80_2nd_additional_actions,trend_demand_e87_level,trend_demand_e89_descript,risk_e93_type,risk_e95_descript
1000,223,411802,VOLUNTEER MISSOULA,0,Community Based Organization,0.0,0.0,0.0,0,10000.0,0,0.0,10000.0,No,0.0,"This activity is a Community Based Org-Volunteer Missoula, a program of United Way of Msla Co, a volunteer connection program and website that 1) Connects volunteers w/ Missoula area non-profits; 2) Connects nonprofits to volunteer recruitment tools 3) mobilize and inform volunteers registered with the website in the event of an emergency; 4) Saves Missoula nonprofits time and money.",0,No,0,0,No,0,0,Low,0,No,0,0,0,0,Demand for service is stable,0,Low/No Risk,0
1000,223,460451,CITY BAND,0,Community Based Organization,0.0,0.0,0.0,0,5880.0,0,0.0,5880.0,No,0.0,This is a stipend paid to the organizer/conductor of the City Band concert series that occurs in Bonner Park in the summers and affords an opportunity for community musicians to play voluntarily in a band setting.,0,No,0,0,No,0,0,Low,0,No,0,0,0,0,Demand for service is stable,0,Financial Risk,Program may not be viable without a contribution towards the organizer/conductor.
1000,224,410580,INFORMATION TECHNOLOGIES,Information Technology,Information Technologies,11.0,1108110.0,1256086.0,0,0.0,0,0.0,2364196.0,No,0.0,"This program is charged with recording expenditures for the staff and operating costs of the Information Technology team and technology costs for the City. Including providing technology equipment for internal and external communications, networking systems, storage, hardware, software, training, maintenance, business process assessment and engineering, and technology and end-user support services for the City.

Central Communications will be broken out into 411300 with a description of:
This program is charged with expenses incurred in providing licensing, maintenance contracts, and services for costs related to the operation of a central communications systems. This includes telephone systems, internet connectivity, WAN, as well as software licensing used for internal communications such as IP phone systems, internal chat, and email systems managed by Information Technology and provided to all departments of the City.",Yes - Central Communications should be separated as noted in description.,No,0,0,No,0,0,High,High level of disruption if this program were discontinued,Yes,Organizational Excellence and Resilience,"Invest in technology systems that support the collection, dissemination and use of relevant data to drive management decisions.","Optimize the allocation, use, and financing of technology and space across the City.",Modernize information technology systems and practices,Demand for service is evolving,"We are changing much of how IT provides service to the City, including multiple system modernizations as well as shifting the culture of the IT team from reactive to proactive, from utility provider, to business partner. Additionally, many City departments are adopting new technologies (Accela-cloud, Axon in PD) and practices (CityCentral & teams, that are changing the services and expertise needed in the IT team.",Changes in Program Requirements,"We are struggling to maintain and develop staff and systems at a rate scaling along-side City increasing demand. While progress is being made shifting culture towards collaboration and quality of service, we may have to begin prioritizing and defining IT work and project involvment in a more structured way. Developing governance will be important."
1000,224,411060,GIS,0,Information Technologies,5.0,529679.0,187209.0,0,0.0,0,0.0,716888.0,No,0.0,This group includes accounts for recording expenditures for the cost of providing Geographic Information Systems (GIS) data and management for the City.,0,Yes,Other Requirement,"Services such as address maintenance provided by this program are required by ordinance, and used by public safety, for permitting, billing, etc.",No,0,0,High,"This program provides information accessibility to citizens so the public can find answers to a broad range of questions. This program significantly decreases staff workloads in programs across the City alleviating citizen need to contact staff for research and documentation on a case-by-case basis.  
This program provides addressing for the City which supports both core city services (permitting, utility billing, etc.) and public safety. GIS provides data maintenance, data management, and mapping application development services that support individual work needs and enhance collaboration between programs and are used for intra- and inter-departmental data-driven decisions.",Yes,Organizational Excellence and Resilience,"Invest in technology systems that support the collection, dissemination and use of relevant data to drive management decisions.",Modernize information technology systems and practices,Deploy technologies that provide opportunities and support for collaboration and information sharing within and among departments and work teams.,Demand for service is increasing,"As the City adjusts and modernizes practice, programs require new ways of working with data and interacting with mapping, resulting in an increase in demand on the technology framework and data management that GIS Services provides.",Changes in Program Requirements,"This program has four large roles: data maintenance, data management, integration with other enterprise systems, and application development. As the City modernizes practices and adopts more technology, this program is stretching thin resources. Developing and maintaining robust tools such as the City Permit Atlas and working closer with depts throughout the city requires upskilling staff and establishing priorities and timelines which may delay some desired outcomes."
1000,224,419000,GENERAL GOV'T ONETIME EXPENDITURES,0,Information Technologies,0.0,0.0,7730.47,0,0.0,0,0.0,7730.47,No,0.0,OTO Money for equipment and furnishings for new System Administrator position.,0,No,0,0,No,0,0,Low,0,0,Organizational Excellence and Resilience,"Assess workplace safety and well-being and develop a plan to remedy areas of concern, support areas of success while increasing overall staff engagement in safety and well-being efforts.",0,0,Demand for service is stable,0,Low/No Risk,0
1000,230,410360,CITY/MUNICIPAL COURT,0,Municipal Court,22.0,1895675.0,324333.0,0,0.0,0,0.0,2220008.0,No,0.0,"Three Judges presiding over all city ordinances, traffic offenses and misdemeanor criminal offenses occurring within City limits.  Approximately 10,000 charges are filed in the court each year.  Three courtrooms are in session most of the day 5 days a week requiring a judge and court clerk while in session.  Court staff serve the public in the office, on the phones, via the court website.  Staff ensure convictions are reported to appropriate agencies for accuracy of driving and criminal records.  Staff maintain court software to ensure court calendar is accurate, defendant information is up to date, payments are received and applied correctly as well as other administrative tasks.  Judges and staff work together to  create new","approx 3/4 of PASS budget is under this activity code, traffic court, shelter court",Yes,Required by State Law,MCA chapter 6,Yes,Required by State Law,"MCA sets court hours, City Council determines number of judges",High,Internal Organizational (City) Dependence,No,0,0,0,0,Demand for service is increasing,"the number of cases/charges the Court address increase each year, the services the Court provides also increase, including PASS, Traffic Court, Shelter Court all of which take increased staff hours",Changes in Program Requirements,"As the current judges introduce new programs to the Court (PASS, Shelter Court, Traffic Court) and the number of cases/citations increase we are tasked with doing more with the same amount of money over time.  This may make it difficult to provide valuable services within our budget"
1000,230,411853,MCS,PASS,Municipal Court,0.0,0.0,0.0,0,63903.0,0,0.0,63903.0,No,0.0,"This provides approximately 25% of the budget for the Pretrial assistance to support success program provides hearing reminders to defendants along with providing access to community resources if required.  The goal is to reduce failures to appear and new charges while their cases are pending.  This will decrease warrants issues, time spent in jail, and interactions with police.",0,No,0,0,No,0,0,Medium,0,No,0,0,0,0,Demand for service is increasing,as caseloads and citations increase the demand for this program also increases.,Financial Risk,Due to the Court's budgetary limits there is risk that the program will not be able to grow to accommodate the Court's needs based on case loads
1265,240,411850,ECONOMIC DEVELOPMENT,0,"Community Planning, Development, & Innovation",0.0,0.0,15904.0,0,63618.0,0,0.0,79522.0,Yes,0.0,This activity code holds legacy federal grant funding that preceded the Community Development Block Grant program. These funds revolved back to the City from loans that originated from this program. The funds are a protected or special revenue fund and must be spent in accordance with CDBG program guidelines. The HUD Grants Team supports spend down of these funds.,No,Yes,Required by Federal Law,"The funds originated with a now defunct federal program, but federal guidelines of the closest program type apply (CDBG). The regulation does not require this ""program"" rather it governs the spend-down of the remaining funds.",No,0,blank,Low,0,No,0,0,0,0,0,0,0,0
1000,240,410510,FINANCIAL SERVICES ADMINISTRATION,0,Finance,0.0,1293536.0,386546.0,0,0.0,0,0.0,1680082.0,No,0.0,"The Finance Department provides full-service accounting functions for the City of Missoula by providing accurate and timely financial information and advice to the city council, city management, citizens, city creditors, banks, and governmental agencies.  Financial services performed include:  City-wide financial management, fiscal analysis and recommendations. Cash, debt, and investment management. Accounting and financial reporting. Annual audits including the Annual Comprehensive Financial Report (ACFR). All accounting for the City including accounts payable and receivable as well as City employee payroll with attendant W-2's and federal tax reporting. Annual budget creation, monitoring, amending and reporting for the City Operating, Debt Service, and Community Investments Budgets.","This activity include payroll, accounts payable, accounts receivable, budgeting, and auditing.",Yes,Other Requirement,The finance department performs functions required by both State and Federal law including annual audits and required budgetary reporting.,Yes,Bond holders,0,High,0,Yes,Organizational Excellence and Resilience,"Acquire and implement key system upgrades, including Human Resources and Payroll, Finance and Asset Management.",Share best practices for integrating measurable goals and objectives into work plans.,0,Demand for service is increasing,The demand for more sophisticated financial reporting and data analytics continues to grow.,Low/No Risk,0
1000,240,419000,GENERAL GOV'T ONETIME EXPENDITURES,Update to Cost Allocation Plan,Finance,0.0,0.0,20000.0,0,0.0,0,0.0,20000.0,Yes,0.0,This activity accounts for the expenditure of an update to the cost allocation plan as approved with FY2024 Finance New Request #2.  It is funded by the Cost Allocation plan.,0,No,0,0,No,0,0,Low,0,0,0,0,0,0,0,0,0,0
1000,245,410810,ADMINISTRATION,0,Central Services,5.0,535423.0,135303.0,0,0.0,0,0.0,670726.0,Yes,0.0,"This program provides leadership and administrative support for the Central Services Division. It also includes the Strategic Projects Analysis and Reporting (SPAR) team that provides strategic project management, change management, and management analysis to major Citywide projects.",1) Admin 2) SPAR,No,0,0,No,0,0,High,Internal Organizational (City) Dependence,Yes,Organizational Excellence and Resilience,Establish mechanisms to formally incorporate strategic lenses into structured decision-making.,"Optimize the allocation, use, and financing of technology and space across the City.","In partnership with Missoula County, effectively manage the rehabilitation of the Missoula Federal Building and provide for a well-organized transition from City Hall to the former Missoula Federal Building.",Demand for service is increasing,There is both a upward trend in the need for administraive support for the Central Services Dept. as well as an increasing desire for the project management support of the SPAR team.,Financial Risk,"Specifically focused on SPAR, as resources become more scarce, there is a risk that funding isn't available to support our in-house strategic proejct support team."
1000,245,419000,GENERAL GOV'T ONETIME EXPENDITURES,0,Central Services,0.0,0.0,313943.0,0,335286.79,0,0.0,649229.79,Yes,0.907582814399198,"This is not a program, but a respository for one-time appropriations for the Central Services Department. These funds typically pay for large, city-wide projects such as the Office 365 implementation or represent the acquisition of equipment, systems, and business tools. Includes $1,708.37 Professional Development & Certification as approved by CS FY23 NR #1 and funded by ARPA, $202,234.63 Office 365 as approved by CS FY23 NR #1 and funded by ARPA, $335,286.80 Rivara Soft Costs as approved by the FY2023 Budget and funded by ARPA. $50,000 Communications Survey Professional Service as approved by the FY2022 budget and funded by ARPA, $60,000 Organizational Excellence and Results Management as approved by FY24 CS NR #3 and funded by tax funds and the Cost Allocation Plan",0,No,0,0,No,0,0,High,Internal Organizational (City) Dependence,Yes,Organizational Excellence and Resilience,"Invest in technology systems that support the collection, dissemination and use of relevant data to drive management decisions.",Implement a robust intranet to centralize internal information and communications for staff development and recognition,Deploy technologies that provide opportunities and support for collaboration and information sharing within and among departments and work teams.,Demand for service is increasing,There is a growing need for improved city-wide systems.,Financial Risk,0
1000,246,411810,ADMINISTRATION,Facility Operations,Facilities Maintenance,1.0,148486.0,26377.0,0,0.0,0,0.0,174863.0,No,0.0,"Funds City Facilities Management and Operations. Costs include Administration, Maintanance, Utilities, and Service Contracts for the following sites: 435 Ryman, 140 Pine, 400 Ryman, 412-414-416 Ryman, 109 Catlin, 1305 Scott st.  A-B-C-D. We are working with finance to combine 411810, 430220 and 431350 Finance will update once finished to the proper activity code.",0,No,0,0,No,0,0,High,High level of disruption if this program were discontinued,Yes,Organizational Excellence and Resilience,"Coordinate the planning and execution of necessary facility improvement projects to support operations and service delivery for Police, Public Works & Mobility, Parks and Recreation and Fire","In partnership with Missoula County, effectively manage the rehabilitation of the Missoula Federal Building and provide for a well-organized transition from City Hall to the former Missoula Federal Building.",0,Demand for service is increasing,"Service costs are rising due to aging infrastructure, defered maintanance and limited Facility space with increases in staff and rising cost associated with utility rates, material costs and service contract increases.",Low/No Risk,0
1000,246,430220,CITY FACILITY UTILITIES,Facility Operations,Facilities Maintenance,0.0,0.0,326358.0,0,0.0,0,0.0,326358.0,No,0.0,"Funds City Facilities Management and Operations. Costs include Administration, Maintanance, Utilities, and Service Contracts for the following sites: 435 Ryman, 140 Pine, 400 Ryman, 412-414-416 Ryman, 109 Catlin, 1305 Scott st.  A-B-C-D. We are working with finance to combine 411810, 430220 and 431350 Finance will update once finished to the proper activity code.",0,No,0,0,No,0,0,High,High level of disruption if this program were discontinued,Yes,Organizational Excellence and Resilience,"Coordinate the planning and execution of necessary facility improvement projects to support operations and service delivery for Police, Public Works & Mobility, Parks and Recreation and Fire","In partnership with Missoula County, effectively manage the rehabilitation of the Missoula Federal Building and provide for a well-organized transition from City Hall to the former Missoula Federal Building.",0,Demand for service is increasing,"Service costs are rising due to aging infrastructure, defered maintanance and limited Facility space with increases in staff and rising cost associated with utility rates, material costs and service contract increases.",Low/No Risk,0
1000,246,431350,CITY FACILITY MAINTENANCE,Facility Operations,Facilities Maintenance,2.0,181567.0,373632.0,0,0.0,0,0.0,555199.0,No,0.0,"Funds City Facilities Management and Operations. Costs include Administration, Maintanance, Utilities, and Service Contracts for the following sites: 435 Ryman, 140 Pine, 400 Ryman, 412-414-416 Ryman, 109 Catlin, 1305 Scott st.  A-B-C-D. We are working with finance to combine 411810, 430220 and 431350 Finance will update once finished to the proper activity code.",0,No,0,0,No,0,0,High,High level of disruption if this program were discontinued,Yes,Organizational Excellence and Resilience,"Coordinate the planning and execution of necessary facility improvement projects to support operations and service delivery for Police, Public Works & Mobility, Parks and Recreation and Fire","In partnership with Missoula County, effectively manage the rehabilitation of the Missoula Federal Building and provide for a well-organized transition from City Hall to the former Missoula Federal Building.",0,Demand for service is increasing,"Service costs are rising due to aging infrastructure, defered maintanance and limited Facility space with increases in staff and rising cost associated with utility rates, material costs and service contract increases.",Low/No Risk,0
1000,246,460452,ART MUSEUM,0,Facilities Maintenance,0.0,0.0,0.0,0,45862.0,0,0.0,45862.0,No,0.0,"This activity supports repair and maintenance cost for the City owned Missoula art Museum facility. Supports HVAC, Elevator and Janitorial service contracts.",0,No,0,0,No,0,0,Medium,0,No,0,0,0,0,Demand for service is stable,0,0,0
1251,246,430220,CITY FACILITY UTILITIES,Johnson Street Properties,Facilities Maintenance,0.0,0.0,66000.0,0,0.0,0,0.0,66000.0,Yes,0.0909090909090909,"This activity accounts for the payment of utilities, repair & maintenance and managment fees for Properties on Johnson Street.",0,No,0,0,No,0,0,Low,0,0,0,0,0,0,0,0,0,0
1251,246,431350,CITY FACILITY MAINTENANCE,301 East Main (Old Library),Facilities Maintenance,0.0,0.0,81000.0,0,0.0,0,0.0,81000.0,Yes,0.148148148148148,"This activity accounts for the payment of utilities, repair & maintenance and managment fees for the old library property at 301 E Main Street.",0,No,0,0,No,0,0,Low,0,0,0,0,0,0,0,0,0,0
1000,248,411200,FACILITIES ADMINISTRATION,JOHN ENGEN LOCAL GOVERNMENT BUILDING,Central Services,0.0,0.0,70875.0,0,0.0,0,0.0,70875.0,No,0.0,This activity supports the City's operating costs for administration of the JELGB.,0,No,0,0,Yes,0,City/County MOU,High,0,Yes,Organizational Excellence and Resilience,"Optimize the allocation, use, and financing of technology and space across the City.","In partnership with Missoula County, effectively manage the rehabilitation of the Missoula Federal Building and provide for a well-organized transition from City Hall to the former Missoula Federal Building.",Implement climate action policies to reduce greenhouse gas emissions through energy efficiency and electrification of City-owned buildings and fleet vehicles.,Demand for service is evolving,The operations costs of the JELGB will evolve further both during construction and after occupation of the building.,Financial Risk,"This is a challenging project to fund. It is large and does not have dedicated, non-general fund money."
1000,250,411850,ECONOMIC DEVELOPMENT,0,Community Based Organization,0.0,0.0,0.0,0,100000.0,0,0.0,100000.0,No,0.0,"This is funding the City provides to the Missoula Economic Partnership, a local community based organization that promotes economic development in the community.",0,No,0,0,No,No,0,Low,0,Yes,Economic Health,"Seek private-sector partners for the development of City-owned lands, including the Payne Block (the former public library), Russell & Broadway (the former Sleepy Inn) and the Johnson Street parcels adjacent to Montana Rail Link Park.",0,0,Demand for service is stable,MEP continues to serve an ongoing need to act as a liaison to the private sector for public private partnerships.,Low/No Risk,0
1000,250,440191,PARTNERSHIP HEALTH,0,Community Based Organization,0.0,0.0,0.0,0,35000.0,0,0.0,35000.0,No,0.0,"This is funding the City provides to Partnership Health, a local community based organization that provides affordable health care to uninsured and underinsured  in the community.",0,0,0,0,0,0,0,Low,0,No,0,0,0,0,Demand for service is stable,0,0,0
1000,250,450000,AGING SERVICES,0,Community Based Organization,0.0,0.0,0.0,0,368845.0,0,0.0,368845.0,No,0.0,"This is funding the City provides to Missoula Aging Services, a local community based organization that provides an array of services to Missoula's population of older persons.",0,No,0,0,No,0,0,Low,0,No,0,0,0,0,Demand for service is stable,0,Low/No Risk,0
1000,250,460300,OTHER COMMUNITY EVENTS,0,Community Based Organization,0.0,0.0,0.0,0,202350.0,0,0.0,202350.0,No,0.0,"This is funding the City provides to the Missoula Cultural Council - ARTS MSO, a local community based organization that promotes cultural competinency programming in the community.",0,No,0,0,No,0,0,Low,0,No,0,0,0,0,Demand for service is stable,0,Low/No Risk,0
1000,250,460453,BANDS,0,Community Based Organization,0.0,0.0,0.0,0,12000.0,0,0.0,12000.0,No,0.0,"This is funding the City provides to the International Choir Festival, a local community based organization that conducts this cultural festival in Missoula.",0,No,0,0,0,0,0,0,0,No,0,0,0,0,Demand for service is stable,0,0,0
1000,250,410120,COMMUNITY FORUM/NC LIAISON,0,"Community Planning, Development, & Innovation",0.0,0.0,500.0,0,6700.0,0,0.0,7200.0,No,0.0,"This activity code funds neighborhood council projects and community forum expenditures. This can include strategic projects that create more resources, opportunities, and guidance for all neighborhood councils, extra funds to assist neighborhoods with specific projects, and meeting materials and supplies. This activity code also houses reallocation of funds not spent by the Neighborhood Councils in the previous year up to $5,000 and caries it over into this activity code in the subsequent fiscal year.",0,Yes,Required by City Charter,Article VI in the City Charter,No,0,0,Medium,0,Yes,Community Design and Livability,"Increase engagement at the Neighborhood Council level by providing opportunities for true collaboration and participation in city processes through regular staff updates, presentations and opportunities for questions and answers.",0,0,Demand for service is stable,Funding has been stable for the Community Forum but we are working on creating more opportunities through the funding that is available to the Community Forum and the Neighborhood Councils.,Financial Risk,This is the way that we can help all neighborhoods with these larger strategic projects that increase the opportunities for equity in the outreach and engagement that can happen through the Neighborhood Council structure.
